Date,Demand,RRP,pDemand,pRRP,nDemand,nRRP,FracNegative,Minimum Temperature,Maximum Temperature,SchoolDay,Holiday
2015-04-17,131031.41500000002,33.987504818214774,131031.41500000002,33.987504818214774,0.0,0.0,0.0,10.1,17.1,Y,N
2015-04-18,109763.98499999997,26.140128944389186,109763.98499999997,26.140128944389186,0.0,0.0,0.0,13.5,21.9,Y,N
2015-04-19,107160.54000000001,24.540694444522213,107160.54000000001,24.540694444522213,0.0,0.0,0.0,9.7,14.7,Y,N
2015-04-20,126696.19,33.67717582588711,126696.19,33.67717582588711,0.0,0.0,0.0,7.0,16.2,Y,N
2015-04-21,127973.58499999999,30.473156903434408,127973.58499999999,30.473156903434408,0.0,0.0,0.0,6.5,17.7,Y,N
2015-04-22,128598.49500000002,36.69528356727658,128598.49500000002,36.69528356727658,0.0,0.0,0.0,9.1,19.5,Y,N
2015-04-23,126483.805,35.42248474458845,126483.805,35.42248474458845,0.0,0.0,0.0,12.2,19.2,Y,N
2015-04-24,126230.785,36.4979363013547,126230.785,36.4979363013547,0.0,0.0,0.0,14.4,21.1,Y,N
2015-04-25,111803.625,25.97830857630958,111803.625,25.97830857630958,0.0,0.0,0.0,11.6,15.0,Y,Y
2015-04-26,108217.81999999998,28.955419758501883,108217.81999999998,28.955419758501883,0.0,0.0,0.0,10.4,15.4,Y,N
2015-04-27,127855.22000000004,48.67306836044706,127855.22000000004,48.67306836044706,0.0,0.0,0.0,10.5,15.1,Y,N
2015-04-28,132642.14000000004,46.26803439540404,132642.14000000004,46.26803439540404,0.0,0.0,0.0,10.1,16.0,Y,N
2015-04-29,132814.615,39.829820888311126,132814.615,39.829820888311126,0.0,0.0,0.0,7.4,17.1,Y,N
2015-04-30,132669.58000000005,39.09265230582624,132669.58000000005,39.09265230582624,0.0,0.0,0.0,6.4,19.6,Y,N
2015-05-01,126304.44499999999,47.47446209909713,126304.44499999999,47.47446209909713,0.0,0.0,0.0,7.9,23.1,Y,N
2015-05-02,108487.97500000003,25.852039897970233,108487.97500000003,25.852039897970233,0.0,0.0,0.0,11.6,22.2,Y,N
2015-05-03,109233.34000000001,30.627063068381872,109233.34000000001,30.627063068381872,0.0,0.0,0.0,9.7,18.2,Y,N
2015-05-04,122375.47,28.803037943797065,122375.47,28.803037943797065,0.0,0.0,0.0,7.5,22.3,Y,N
2015-05-05,123734.86499999999,27.383343970997988,123734.86499999999,27.383343970997988,0.0,0.0,0.0,9.2,18.1,Y,N
2015-05-06,129121.86,26.02258937952102,129121.86,26.02258937952102,0.0,0.0,0.0,9.5,16.2,Y,N
2015-05-07,131237.185,29.082030032494224,131237.185,29.082030032494224,0.0,0.0,0.0,10.3,15.6,Y,N
2015-05-08,131138.73,29.07560905386227,131138.73,29.07560905386227,0.0,0.0,0.0,10.5,15.9,Y,N
2015-05-09,108377.04999999999,19.602360469306003,108377.04999999999,19.602360469306003,0.0,0.0,0.0,12.8,18.7,Y,N
2015-05-10,103811.27999999998,13.27984075815268,84331.02999999997,14.871145571078602,19480.249999999996,-1.591304812925917,0.22916667,12.8,16.6,Y,N
2015-05-11,123740.24500000001,28.475489377768724,121962.52,28.51600315321826,1777.725,-0.040513775449531386,0.020833334,12.4,15.9,Y,N
2015-05-12,129312.58,28.35535897164839,129312.58,28.35535897164839,0.0,0.0,0.0,12.8,17.4,Y,N
2015-05-13,136903.26999999996,33.60290179664811,136903.26999999996,33.60290179664811,0.0,0.0,0.0,6.3,12.8,Y,N
2015-05-14,135217.65,36.084976092987844,135217.65,36.084976092987844,0.0,0.0,0.0,7.3,14.6,Y,N
2015-05-15,135172.41000000003,32.88820189304903,135172.41000000003,32.88820189304903,0.0,0.0,0.0,11.5,14.5,Y,N
2015-05-16,117136.63,35.11935552653342,117136.63,35.11935552653342,0.0,0.0,0.0,11.3,16.2,Y,N
2015-05-17,111897.08500000004,30.547599465616095,111897.08500000004,30.547599465616095,0.0,0.0,0.0,7.4,20.5,Y,N
2015-05-18,127524.8,39.333712876632624,127524.8,39.333712876632624,0.0,0.0,0.0,7.2,20.4,Y,N
2015-05-19,133235.47999999998,34.03831774201586,133235.47999999998,34.03831774201586,0.0,0.0,0.0,9.9,16.2,Y,N
2015-05-20,127522.70999999999,30.97608603244081,127522.70999999999,30.97608603244081,0.0,0.0,0.0,13.6,18.1,Y,N
2015-05-21,135361.19500000004,35.621998429091875,135361.19500000004,35.621998429091875,0.0,0.0,0.0,10.3,13.6,Y,N
2015-05-22,133422.45999999993,34.61410532529531,133422.45999999993,34.61410532529531,0.0,0.0,0.0,9.1,14.1,Y,N
2015-05-23,119331.85,31.226984323548148,119331.85,31.226984323548148,0.0,0.0,0.0,10.4,13.3,Y,N
2015-05-24,118783.08500000004,31.49325855571101,118783.08500000004,31.49325855571101,0.0,0.0,0.0,6.0,15.6,Y,N
2015-05-25,136690.92,51.61033015031283,136690.92,51.61033015031283,0.0,0.0,0.0,7.4,17.1,Y,N
2015-05-26,140886.99499999997,46.40181363226607,140886.99499999997,46.40181363226607,0.0,0.0,0.0,5.4,15.6,Y,N
2015-05-27,133103.36999999997,29.8840713706197,133103.36999999997,29.8840713706197,0.0,0.0,0.0,7.9,18.7,Y,N
2015-05-28,127900.235,26.096889029953697,127900.235,26.096889029953697,0.0,0.0,0.0,13.1,19.7,Y,N
2015-05-29,132338.94,29.803580048699196,132338.94,29.803580048699196,0.0,0.0,0.0,9.5,15.8,Y,N
2015-05-30,114669.79000000002,19.04882578619878,114669.79000000002,19.04882578619878,0.0,0.0,0.0,11.0,17.3,Y,N
2015-05-31,113261.26,18.572714075845525,113261.26,18.572714075845525,0.0,0.0,0.0,12.3,16.8,Y,N
2015-06-01,140919.99500000002,36.92812664164513,140919.99500000002,36.92812664164513,0.0,0.0,0.0,5.2,12.2,Y,N
2015-06-02,148534.505,59.856033379584105,148534.505,59.856033379584105,0.0,0.0,0.0,7.1,11.4,Y,N
2015-06-03,146902.94999999998,50.562683595870624,146902.94999999998,50.562683595870624,0.0,0.0,0.0,8.1,13.6,Y,N
2015-06-04,147155.26500000004,33.050284794771024,147155.26500000004,33.050284794771024,0.0,0.0,0.0,4.4,11.3,Y,N
2015-06-05,142625.03500000003,37.96653888744005,142625.03500000003,37.96653888744005,0.0,0.0,0.0,7.0,15.0,Y,N
2015-06-06,120128.29499999998,30.181346851713833,120128.29499999998,30.181346851713833,0.0,0.0,0.0,9.2,16.6,Y,N
2015-06-07,109609.68500000004,23.380384849659947,109609.68500000004,23.380384849659947,0.0,0.0,0.0,11.2,14.5,Y,N
2015-06-08,110715.81499999997,24.357636495743638,110715.81499999997,24.357636495743638,0.0,0.0,0.0,11.1,18.5,Y,Y
